fecha,hora,clase_evento,lugar,latitud,longitud,Vehículo 1 - fase,Vehículo 1 - tipo,Vehículo 1 - experimental,Vehículo 1 - marca,Vehículo 1 - modelo,Vehículo 1 - matricula,Vehículo 1 - suceso,Vehículo 1 - investigacion,Vehículo 1 - operacion,Vehículo 1 - danios,Vehículo 1 - categoria,Vehículo 2 - fase,Vehículo 2 - tipo,Vehículo 2 - experimental,Vehículo 2 - marca,Vehículo 2 - modelo,Vehículo 2 - matricula,Vehículo 2 - suceso,Vehículo 2 - investigacion,Vehículo 2 - operacion,Vehículo 2 - danios,Vehículo 2 - categoria,Vehículo 2 - dominio,Vehículo 2 - categoria_servicios
1999-07-11,20:45,,Aeródromo Alta Gracia (Cordoba),0,0,Aterrizaje,Avión,False,PIPER,PA-11,LV-RMS,Accidente,True,Non-Commercial Operations,Leves,"LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
1999-07-09,17:00,,Zona Delta Del Río Paraná (Buenos Aires),0,0,Crucero,Avión,False,CESSNA,C-152,LV-ZOI,Accidente,True,Non-Commercial Operations,De importancia,SCF-PP (Powerplant failure or malfunction),,,,,,,,,,,,,
1999-06-29,14:18,,Paraje San Miguel De Sauce (Cordoba),0,0,Maniobras,Helicóptero,False,HUGHES,H-500-C,LV-LOH,Accidente,True,Specialised Operations,Destruida,"F-POST (Fire/smoke Post-Impact), CFIT (Controlled fligth into or toward terrain), UIMC (Unintended Flight in IMC)",,,,,,,,,,,,,
1999-06-26,20:36,,Aeródromo Del Comedero (Jujuy),-24.239166666666666,-65.27972222222222,Ascenso,Avión,False,PIPER,PA-38-112,LV-ANM,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), SCF-PP (Powerplant failure or malfunction)",,,,,,,,,,,,,
1999-06-21,20:30,,Localidad Glew (Buenos Aires),0,0,Maniobras,Avión,False,FMA,IAe 20 (EL BOYERO),LV-YSU,Accidente,True,Non-Commercial Operations,Destruida,"F-POST (Fire/smoke Post-Impact), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-06-14,15:30,,Aeródromo Carmen De Patagones (Buenos Aires),-40.783055555555556,-62.98416666666667,Aterrizaje,Avión,False,AERO BOERO,AB-180-RVR,LV-ATU,Accidente,True,Non-Commercial Operations,De importancia,"LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
1999-05-23,19:45,,Zona rural Saladillo (Buenos Aires),0,0,Aterrizaje,Avión,False,PIPER,PA-11,LV-YRH,Accidente,True,Non-Commercial Operations,De importancia,"NAV (Navigation Error), LOC-G (Loss of control -ground), UIMC (Unintended Flight in IMC)",,,,,,,,,,,,,
1999-05-22,19:30,,Zona rural Canal Oyarvide (Buenos Aires),0,0,Aterrizaje,Anfibio,False,AVENTURA,CHAPETE II,LV-X218,Accidente,True,Non-Commercial Operations,Destruida,CTOL (Collision with obstacle during take-off and landing),,,,,,,,,,,,,
1999-05-20,21:20,,Aeródromo Santa Maria (Catamarca),-26.715555555555554,-66.04555555555555,Aterrizaje,Avión,False,PIPER,PA-31-T,LV-MOE,Accidente,True,Non-Commercial Operations,Leves,"ADRM (Aerodrome), LOC-G (Loss of control -ground), RE (Runway Excursion)",,,,,,,,,,,,,
1999-05-11,19:50,,Zona rural Zarate (Buenos Aires),-34.11611111111111,-59.08388888888889,Aterrizaje,Avión,False,PIPER,PA-A-28-140,LV-LLX,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), NAV (Navigation Error)",,,,,,,,,,,,,
1999-05-09,19:30,,Aeroclub Allen (Rio Negro),0,0,Aterrizaje,Planeador,False,SKY,34-A,LV-EEM,Accidente,True,Specialised Operations,Leves,ARC (Abnormal runway contact),,,,,,,,,,,,,
1999-04-07,19:33,,Aeródromo San Juan (San Juan),0,0,Crucero,Avión,False,DINFIA,IAe 46 SUPER RANQUEL,LV-IJJ,Accidente,True,Non-Commercial Operations,Leves,"TURB (Turbulence Encounter), SCF-NP (System/component failure or malfunction (No Powerplant)",,,,,,,,,,,,,
1999-04-06,19:00,,Zona rural Córdoba (Cordoba),-31.246111111111112,-64.18416666666667,Maniobras,Helicóptero,False,ROBINSON,R-22,LV-WMW,Accidente,True,Non-Commercial Operations,Destruida,"LALT (Low altitude operations), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-04-06,14:45,,Aeropuerto Comodoro Rivadavia (Chubut),0,0,Aterrizaje,Avión,False,PIPER,PA-24-250,LV-GOW,Accidente,True,Non-Commercial Operations,Leves,SCF-NP (System/component failure or malfunction (No Powerplant),,,,,,,,,,,,,
1999-04-04,14:10,,Aeródromo Cosquín - Santa María De Punilla (Cordoba),-31.282777777777778,-64.45083333333334,Maniobras,Avión,True,RANS & CO,S-6-ES,S/M,Accidente,True,Non-Commercial Operations,Destruida,"SCF-NP (System/component failure or malfunction (No Powerplant), LOC-I (Loss of control - inflight)",,,,,,,,,,,,,
1999-04-03,20:00,,Aeroclub Fortín Lobos (Buenos Aires),0,0,Maniobras,Avión,False,PIPER,PA-11,LV-NDS,Accidente,True,Non-Commercial Operations,De importancia,LALT (Low altitude operations),,,,,,,,,,,,,
1999-04-01,18:00,,Aeroclub Mar Del Plata (Buenos Aires),-38.014722222222225,-57.65472222222222,Aterrizaje,Planeador,False,BLANIK,L-13,LV-DGH,Accidente,True,Non-Commercial Operations,De importancia,"CTOL (Collision with obstacle during take-off and landing), RE (Runway Excursion)",,,,,,,,,,,,,
